ID,databaseId
weapon-11954,11094
weapon-11955,11095
weapon-11956,11096
weapon-11957,11097
weapon-11958,11098
weapon-11959,11099
weapon-11960,11100
weapon-11961,11101
weapon-11962,11102
weapon-11963,11103
weapon-11964,11104
weapon-11965,11105
weapon-11966,11106
weapon-11967,11107
weapon-11968,11108
weapon-11969,11109
weapon-11970,11110
weapon-11971,11111
weapon-11972,11112
weapon-11973,11113
weapon-11974,11114
weapon-11975,11115
weapon-11976,11116
weapon-11977,11117
weapon-11978,11118
weapon-11979,11119
weapon-11980,11120
weapon-11981,11121
weapon-11982,11122
weapon-11983,11123
weapon-11984,11124
weapon-11985,11125
weapon-11986,11126
weapon-11987,11127
weapon-11988,11128
weapon-11989,11129
weapon-11990,11130
weapon-11991,11131
weapon-11992,11132
weapon-11993,11133
weapon-11994,11134
weapon-11995,11135
weapon-11996,11136
weapon-11997,11137
weapon-11998,11138
weapon-11999,11139
weapon-12000,11140
weapon-12001,11141
weapon-12002,11142
weapon-12003,11143
weapon-12004,11144
weapon-12005,11145
weapon-12006,11146
weapon-12007,11147
weapon-12008,11148
weapon-12009,11149
weapon-12010,11150
weapon-12011,11151
weapon-12012,11152
weapon-12013,11153
weapon-12014,11154
weapon-12015,11155
weapon-12016,11156
weapon-12017,11157
weapon-12018,11158
weapon-12019,11159
weapon-12020,11160
weapon-12021,11161
weapon-12022,11162
weapon-12023,11163
weapon-12024,11164
weapon-12025,11165
weapon-12026,11166
weapon-12027,11167
weapon-12028,11168
weapon-12029,11169
weapon-12030,11170
weapon-12031,11171
weapon-12032,11172
weapon-12033,11173
weapon-12034,11174
weapon-12035,11175
weapon-12036,11176
weapon-12037,11177
weapon-12038,11178
weapon-12039,11179
weapon-12040,11180
weapon-12041,11181
weapon-12042,11182
weapon-12043,11183
weapon-12044,11184
weapon-12045,11185
weapon-12046,11186
weapon-12047,11187
weapon-12048,11188
weapon-12049,11189
weapon-12050,11190
weapon-12051,11191
weapon-12052,11192
weapon-12053,11193
weapon-12054,11194
weapon-12055,11195
weapon-12056,11196
weapon-12057,11197
weapon-12058,11198
weapon-12059,11199
weapon-12060,11200
weapon-12061,11201
weapon-12062,11202
weapon-12063,11203
weapon-12064,11204
weapon-12065,11205
weapon-12066,11206
weapon-12067,11207
weapon-12068,11208
weapon-12069,11209
weapon-12070,11210
weapon-12071,11211
weapon-12072,11212
weapon-12073,11213
weapon-12074,11214
weapon-12075,11215
weapon-12076,11216
weapon-12077,11217
weapon-12078,11218
weapon-12079,11219
weapon-12080,11220
weapon-12081,11221
weapon-12082,11222
weapon-12083,11223
weapon-12084,11224
weapon-12085,11225
weapon-12086,11226
weapon-12087,11227
weapon-12088,11228
weapon-12089,11229
weapon-12090,11230
weapon-12091,11231
weapon-12092,11232
weapon-12093,11233
weapon-12094,11234
weapon-12095,11235
weapon-12096,11236
weapon-12097,11237
weapon-12098,11238
weapon-12099,11239
weapon-12100,11240
weapon-12101,11241
weapon-12102,11242
weapon-12103,11243
weapon-12104,11244
weapon-12105,11245
weapon-12106,11246
weapon-12107,11247
weapon-12108,11248
weapon-12109,11249
weapon-12110,11250
weapon-12111,11251
weapon-12112,11252
weapon-12113,11253
weapon-12114,11254
weapon-12115,11255
weapon-12116,11256
weapon-12117,11257
weapon-12118,11258
weapon-12119,11259
weapon-12120,11260
weapon-12121,11261
weapon-12122,11262
weapon-12123,11263
weapon-12124,11264
weapon-12125,11265
weapon-12126,11266
weapon-12127,11267
weapon-12128,11268
weapon-12129,11269
weapon-12130,11270
weapon-12131,11271
weapon-12132,11272
weapon-12133,11273
weapon-12134,11274
weapon-12135,11275
weapon-12136,11276
weapon-12137,11277
weapon-12138,11278
weapon-12139,11279
weapon-12140,11280
weapon-12141,11281
weapon-12142,11282
weapon-12143,11283
weapon-12144,11284
weapon-12145,11285
weapon-12146,11286
weapon-12147,11287
weapon-12148,11288
weapon-12149,11289
weapon-12150,11290
weapon-12151,11291
weapon-12152,11292
weapon-12153,11293
weapon-12154,11294
weapon-12155,11295
weapon-12156,11296
weapon-12157,11297
weapon-12158,11298
weapon-12159,11299
weapon-12160,11300
weapon-12161,11301
weapon-12162,11302
weapon-12163,11303
weapon-12164,11304
weapon-12165,11305
weapon-12166,11306
weapon-12167,11307
weapon-12168,11308
weapon-12169,11309
weapon-12170,11310
weapon-12171,11311
weapon-12172,11312
weapon-12173,11313
weapon-12174,11314
weapon-12175,11315
weapon-12176,11316
weapon-12177,11317
weapon-12178,11318
weapon-12179,11319
weapon-12180,11320
weapon-12181,11321
weapon-12182,11322
weapon-12183,11323
weapon-12184,11324
weapon-12185,11325
weapon-12186,11326
weapon-12187,11327
weapon-12188,11328
weapon-12189,11329
weapon-12190,11330
weapon-12191,11331
weapon-12192,11332
weapon-12193,11333
weapon-12194,11334
weapon-12195,11335
weapon-12196,11336
weapon-12197,11337
weapon-12314,11454
weapon-12315,11455
weapon-12316,11456
weapon-12317,11457
weapon-12318,11458
weapon-12319,11459
weapon-12320,11460
weapon-12321,11461
weapon-12322,11462
weapon-12323,11463
weapon-12324,11464
weapon-12325,11465
weapon-12326,11466
weapon-12327,11467
weapon-12328,11468
weapon-12329,11469
weapon-12330,11470
weapon-12331,11471
weapon-12332,11472
weapon-12333,11473
weapon-12334,11474
weapon-12335,11475
weapon-12336,11476
weapon-12337,11477
weapon-12338,11478
weapon-12339,11479
weapon-12340,11480
weapon-12341,11481
weapon-12342,11482
weapon-12343,11483
weapon-12344,11484
weapon-12345,11485
weapon-12346,11486
weapon-12347,11487
weapon-12348,11488
weapon-12349,11489
weapon-12350,11490
weapon-12351,11491
weapon-12352,11492
weapon-12353,11493
weapon-12354,11494
weapon-12355,11495
weapon-12356,11496
weapon-12357,11497
weapon-12358,11498
weapon-12359,11499
weapon-12360,11500
weapon-12361,11501
weapon-12362,11502
weapon-12363,11503
weapon-12364,11504
weapon-12365,11505
weapon-12366,11506
weapon-12367,11507
weapon-12368,11508
weapon-12369,11509
weapon-12370,11510
weapon-12371,11511
weapon-12372,11512
weapon-12373,11513
weapon-12374,11514
weapon-12375,11515
weapon-12376,11516
weapon-12377,11517
weapon-12378,11518
weapon-12379,11519
weapon-12380,11520
weapon-12381,11521
weapon-12382,11522
weapon-12383,11523
weapon-12384,11524
weapon-12385,11525
weapon-12386,11526
weapon-12387,11527
weapon-12388,11528
weapon-12389,11529
weapon-12390,11530
weapon-12391,11531
weapon-12392,11532
weapon-12393,11533
weapon-12394,11534
weapon-12395,11535
weapon-12396,11536
weapon-12397,11537
weapon-12398,11538
weapon-12399,11539
weapon-12400,11540
weapon-12401,11541
weapon-12402,11542
weapon-12403,11543
weapon-12404,11544
weapon-12405,11545
weapon-12406,11546
weapon-12407,11547
weapon-12408,11548
weapon-12409,11549
weapon-12410,11550
weapon-12411,11551
weapon-12412,11552
weapon-12413,11553
weapon-12414,11554
weapon-12415,11555
weapon-12416,11556
weapon-12417,11557
weapon-12418,11558
weapon-12419,11559
weapon-12420,11560
weapon-12421,11561
weapon-12422,11562
weapon-12423,11563
weapon-12424,11564
weapon-12425,11565
weapon-12426,11566
weapon-12427,11567
weapon-12428,11568
weapon-12429,11569
weapon-12430,11570
weapon-12431,11571
weapon-12432,11572
weapon-12433,11573
weapon-12434,11574
weapon-12435,11575
weapon-12436,11576
weapon-12437,11577
weapon-12438,11578
weapon-12439,11579
weapon-12440,11580
weapon-12441,11581
weapon-12442,11582
weapon-12443,11583
weapon-12444,11584
weapon-12445,11585
weapon-12446,11586
weapon-12447,11587
weapon-12448,11588
weapon-12449,11589
weapon-12450,11590
weapon-12451,11591
weapon-12452,11592
weapon-12453,11593
weapon-12454,11594
weapon-12455,11595
weapon-12456,11596
weapon-12457,11597
weapon-12458,11598
weapon-12459,11599
weapon-12460,11600
weapon-12461,11601
weapon-12462,11602
weapon-12463,11603
weapon-12464,11604
weapon-12465,11605
weapon-12466,11606
weapon-12467,11607
weapon-12468,11608
weapon-12469,11609
weapon-12470,11610
weapon-12471,11611
weapon-12472,11612
weapon-12473,11613
weapon-12474,11614
weapon-12475,11615
weapon-12476,11616
weapon-12477,11617
weapon-12478,11618
weapon-12479,11619
weapon-12480,11620
weapon-12481,11621
weapon-12482,11622
weapon-12483,11623
weapon-12484,11624
weapon-12485,11625
weapon-12486,11626
weapon-12487,11627
weapon-12488,11628
weapon-12489,11629
weapon-12490,11630
weapon-12491,11631
weapon-12492,11632
weapon-12493,11633
weapon-12494,11634
weapon-12495,11635
weapon-12496,11636
weapon-12497,11637
weapon-12498,11638
weapon-12499,11639
weapon-12500,11640
weapon-12501,11641
weapon-12502,11642
weapon-12503,11643
weapon-12504,11644
weapon-12505,11645
weapon-12506,11646
weapon-12507,11647
weapon-12508,11648
weapon-12509,11649
weapon-12510,11650
weapon-12511,11651
weapon-12512,11652
weapon-12513,11653
weapon-12514,11654
weapon-12515,11655
weapon-12516,11656
weapon-12517,11657
weapon-12518,11658
weapon-12519,11659
weapon-12520,11660
weapon-12521,11661
weapon-12522,11662
weapon-12523,11663
weapon-12524,11664
weapon-12525,11665
weapon-12526,11666
weapon-12527,11667
weapon-12528,11668
weapon-12529,11669
weapon-12530,11670
weapon-12531,11671
weapon-12532,11672
weapon-12533,11673
weapon-12534,11674
weapon-12535,11675
weapon-12600,11740
weapon-12601,11741
weapon-12602,11742
weapon-12603,11743
weapon-12604,11744
weapon-12605,11745
weapon-12606,11746
weapon-12607,11747
weapon-12608,11748
weapon-12609,11749
weapon-12610,11750
weapon-12611,11751
weapon-12612,11752
weapon-12613,11753
weapon-12614,11754
weapon-12615,11755
weapon-12616,11756
weapon-12617,11757
weapon-12618,11758
weapon-12619,11759
weapon-12620,11760
weapon-12621,11761
weapon-12622,11762
weapon-12623,11763
weapon-12624,11764
weapon-12625,11765
weapon-12626,11766
weapon-12627,11767
weapon-12628,11768
weapon-12635,11775
weapon-12636,11776
weapon-12637,11777
weapon-12638,11778
weapon-12639,11779
weapon-12640,11780
weapon-12641,11781
weapon-12642,11782
weapon-12643,11783
weapon-12644,11784
weapon-12645,11785
weapon-12646,11786
weapon-12647,11787
weapon-12648,11788
weapon-12649,11789
weapon-12650,11790
weapon-12651,11791
weapon-12652,11792
weapon-12653,11793
weapon-12654,11794
weapon-12655,11795
weapon-12656,11796
weapon-12657,11797
weapon-12658,11798
weapon-12659,11799
weapon-12660,11800
weapon-12661,11801
weapon-12662,11802
weapon-12663,11803
weapon-12664,11804
weapon-12665,11805
weapon-12666,11806
weapon-12667,11807
weapon-12668,11808
weapon-12669,11809
weapon-12670,11810
weapon-12671,11811
weapon-12672,11812
weapon-12673,11813
weapon-12674,11814
weapon-12675,11815
weapon-12676,11816
weapon-12677,11817
weapon-12678,11818
weapon-12679,11819
weapon-12680,11820
weapon-12681,11821
weapon-12682,11822
weapon-12683,11823
weapon-12684,11824
weapon-12685,11825
weapon-12686,11826
weapon-12687,11827
weapon-12688,11828
weapon-12689,11829
weapon-12690,11830
weapon-12691,11831
weapon-12692,11832
weapon-12693,11833
weapon-12694,11834
weapon-12695,11835
weapon-12696,11836
weapon-12697,11837
weapon-12698,11838
weapon-12699,11839
weapon-12700,11840
weapon-12701,11841
weapon-12702,11842
weapon-12703,11843
weapon-12704,11844
weapon-12705,11845
weapon-12706,11846
weapon-12707,11847
weapon-12708,11848
weapon-12709,11849
weapon-12710,11850
weapon-12711,11851
weapon-12712,11852
weapon-12713,11853
weapon-12714,11854
weapon-12715,11855
weapon-12716,11856
weapon-12733,11873
weapon-12734,11874
weapon-12735,11875
weapon-12736,11876
weapon-12737,11877
weapon-12737,11877
weapon-12738,11878
weapon-12738,11878
weapon-12739,11879
weapon-12739,11879
weapon-12740,11880
weapon-12740,11880
weapon-12741,11881
weapon-12741,11881
weapon-12742,11882
weapon-12742,11882
weapon-12743,11883
weapon-12744,11884
weapon-12745,11885
weapon-12745,11885
weapon-12746,11886
weapon-12746,11886
weapon-12747,11887
weapon-12748,11888
weapon-12749,11889
weapon-12750,11890
weapon-12751,11891
weapon-12752,11892
weapon-12753,11893
weapon-12753,11893
weapon-12754,11894
weapon-12754,11894
weapon-12755,11895
weapon-12755,11895
weapon-12756,11896
weapon-12756,11896
weapon-12757,11897
weapon-12758,11898
weapon-12759,11899
weapon-12760,11900
weapon-12761,11901
weapon-12761,11901
weapon-12762,11902
weapon-12762,11902
weapon-12763,11903
weapon-12763,11903
weapon-12764,11904
weapon-12764,11904
weapon-12765,11905
weapon-12765,11905
weapon-12766,11906
weapon-12766,11906
weapon-12767,11907
weapon-12767,11907
weapon-12768,11908
weapon-12768,11908
weapon-12769,11909
weapon-12770,11910
weapon-12771,11911
weapon-12772,11912
weapon-12773,11913
weapon-12774,11914
weapon-12775,11915
weapon-12776,11916
weapon-12777,11917
weapon-12778,11918
weapon-12779,11919
weapon-12780,11920
weapon-12781,11921
weapon-12782,11922
weapon-12783,11923
weapon-12784,11924
weapon-12785,11925
weapon-12786,11926
weapon-12787,11927
weapon-12788,11928
weapon-12789,11929
weapon-12790,11930
weapon-12791,11931
weapon-12792,11932
weapon-12793,11933
weapon-12794,11934
weapon-12795,11935
weapon-12796,11936
weapon-12797,11937
weapon-12798,11938
weapon-12799,11939
weapon-12800,11940
weapon-12801,11941
weapon-12802,11942
weapon-12803,11943
weapon-12804,11944
weapon-12805,11945
weapon-12806,11946
weapon-12807,11947
weapon-12808,11948
weapon-12809,11949
weapon-12810,11950
weapon-12811,11951
weapon-12812,11952
weapon-12813,11953
weapon-12814,11954
weapon-12815,11955
weapon-12816,11956
weapon-12817,11957
weapon-12818,11958
weapon-12819,11959
weapon-12820,11960
weapon-12821,11961
weapon-12822,11962
weapon-12823,11963
weapon-12824,11964
weapon-12825,11965
weapon-12826,11966
